2025-07-07 16:58:12,548 - gym_custom_envs_real_ur_drivers_URBasic_robotModelEvent - INFO - Init done
2025-07-07 16:58:13,049 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Connected
2025-07-07 16:58:13,049 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - RT_CLient constructor done
2025-07-07 16:58:13,051 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - Data logging (not event logging) is disabled
2025-07-07 16:58:13,051 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog constructor done
2025-07-07 16:58:13,052 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog is stopped
2025-07-07 16:58:13,053 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE constructor done
2025-07-07 16:58:13,485 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - Controller version: 3.3.1-60
2025-07-07 16:58:13,490 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE started
2025-07-07 16:58:13,554 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Connected
2025-07-07 16:58:13,555 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - UR Dashboard respond Connected: Universal Robots Dashboard Server
2025-07-07 16:58:13,555 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Dashboard server constructor done
2025-07-07 16:58:13,556 - gym_custom_envs_real_ur_drivers_URBasic_robotConnectorEvent - INFO - Init done
2025-07-07 16:58:13,556 - gym_custom_envs_real_ur_drivers_URBasic_urScriptEvent - INFO - Init done!!!
2025-07-07 16:58:13,572 - gym_custom_envs_real_ur_drivers_URBasic_urScriptExtEvent - INFO - Init done
2025-07-07 16:58:15,108 - gym_custom_envs_real_ur_interfaceEvent - INFO - [] init done
2025-07-07 16:58:15,108 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
end_freedrive_mode()

2025-07-07 16:58:17,269 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0759599584215525, -1.5689420601083133, -1.4869636203141183, -1.397897736226217, 1.5765194636851552, 3.099008329658722], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,285 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07596573496841094, -1.568970846562265, -1.4877585524533141, -1.3979573408709924, 1.5765200732659583, 3.0989591245365657], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,299 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07597292554421652, -1.5689341380333486, -1.4877842947260054, -1.3979215780841272, 1.5765250604438488, 3.098967338437922], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,317 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07637256091685676, -1.5693097218271725, -1.488972590569779, -1.3979334990130823, 1.5765056398990211, 3.098973434932309], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,333 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07636913298079948, -1.5693418230814875, -1.488957444190903, -1.3979697386371057, 1.576536103919354, 3.098947442382219], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,347 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07633696823390734, -1.5689464877167418, -1.490137885223609, -1.3979096571551721, 1.5765444804281017, 3.0989879226064305], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,366 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07642910722388424, -1.5689134021155309, -1.4901596121827638, -1.3978495756732385, 1.5765528621506746, 3.099054905992249], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,382 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07653092822387109, -1.5688650798357422, -1.4909664429287404, -1.3977418104754846, 1.5766300845158854, 3.0991685274793763], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,396 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07675351218719928, -1.5688852264070996, -1.4909920026161538, -1.397346035634176, 1.5768270927033479, 3.0994457257006407], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,414 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07723502361924159, -1.5688259158678948, -1.491779744966606, -1.3967223326312463, 1.5771356380944421, 3.099952949784422], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,430 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07765846843620358, -1.5687722416820362, -1.4917913884451692, -1.3962550322162073, 1.5774576310916195, 3.100362172397405], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,443 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.078205357098002, -1.5687104689101388, -1.493100755301295, -1.395571247731344, 1.577809763332622, 3.101077764759888], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,459 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.07880723753058548, -1.5685651007062884, -1.4931650587758711, -1.39479209581484, 1.5782902608560339, 3.1017801895765866], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,480 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0795330374663161, -1.5684347212992942, -1.4937093118698208, -1.3937134901629846, 1.5787693678946024, 3.1027378369891143], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,491 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.08052182655008541, -1.5682374975177062, -1.4938181289132206, -1.3925137678729456, 1.5794325584103241, 3.1037415878382366], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,507 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.08160826722429745, -1.5680354731049495, -1.493971655208289, -1.3911824385272424, 1.580097416608923, 3.10494322942373], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,527 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.08287249294107366, -1.5677968138153504, -1.4941436724548853, -1.3895878950702112, 1.5809927986501675, 3.106356814118678], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,540 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.08411288149927462, -1.5675343641993673, -1.4942876538348007, -1.3880648771869104, 1.581790753517724, 3.1081323915874157], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,556 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0854159940344438, -1.5672720231358193, -1.4944490573528904, -1.3865304152118128, 1.5826940706025368, 3.1095997999689753], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,575 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0868174895878089, -1.5670444193401676, -1.4943187173990495, -1.3847794691668909, 1.583595066130265, 3.1111331875529085], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,587 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.08824791588564881, -1.5668000931859545, -1.4946263278225242, -1.3830528418170374, 1.5845614894097377, 3.1126869261093963], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,603 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.08935456196107211, -1.5669749554967123, -1.4947904428524534, -1.3812780539142053, 1.5852107607436365, 3.1138275073459103], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,625 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0908343824621356, -1.566733374385785, -1.4950813055537586, -1.379371182118551, 1.5862597204697915, 3.115462154417322], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,636 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.09237147382536524, -1.5664194892386767, -1.4948325304590053, -1.3774891058551233, 1.5872897744940853, 3.11711986078316], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,651 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.09386124144888908, -1.5661355563379094, -1.4950170783498935, -1.3757023970233362, 1.5883219713195846, 3.118804621559025], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,672 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.18867963690993372, -1.5477867683746893, -1.5094370952948106, -1.2532623037025703, 1.655165116730528, 3.227495577711389], 0.5, 0.5, 0.01, 0.2, 100)

2025-07-07 16:58:17,679 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
