2025-07-07 17:08:36,364 - gym_custom_envs_real_ur_drivers_URBasic_robotModelEvent - INFO - Init done
2025-07-07 17:08:36,864 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Connected
2025-07-07 17:08:36,865 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - RT_CLient constructor done
2025-07-07 17:08:36,866 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - Data logging (not event logging) is disabled
2025-07-07 17:08:36,866 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog constructor done
2025-07-07 17:08:36,867 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog is stopped
2025-07-07 17:08:36,868 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE constructor done
2025-07-07 17:08:37,347 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - Controller version: 3.3.1-60
2025-07-07 17:08:37,350 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE started
2025-07-07 17:08:37,369 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Connected
2025-07-07 17:08:37,369 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - UR Dashboard respond Connected: Universal Robots Dashboard Server
2025-07-07 17:08:37,370 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Dashboard server constructor done
2025-07-07 17:08:37,370 - gym_custom_envs_real_ur_drivers_URBasic_robotConnectorEvent - INFO - Init done
2025-07-07 17:08:37,370 - gym_custom_envs_real_ur_drivers_URBasic_urScriptEvent - INFO - Init done!!!
2025-07-07 17:08:37,381 - gym_custom_envs_real_ur_drivers_URBasic_urScriptExtEvent - INFO - Init done
2025-07-07 17:08:38,996 - gym_custom_envs_real_ur_interfaceEvent - INFO - [] init done
2025-07-07 17:08:38,996 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
end_freedrive_mode()

2025-07-07 17:08:41,377 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0037191577719575264, -1.6350129924091428, -1.6195956423668365, -1.18381272951235, 1.7981268096337064, 2.9144387382104378], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:08:41,394 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.003718821119237936, -1.6349703960855928, -1.6196167290294772, -1.183824650441305, 1.7981047500810237, 2.914492492683561], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:08:41,406 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.0036660405693690334, -1.6349917249252321, -1.619616909850747, -1.18381272951235, 1.7981164949040098, 2.9144387382104378], 0.5, 0.5, 0.008, 0.2, 80)

2025-07-07 17:08:41,422 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.00367673080307839, -1.6349598236993665, -1.6196598701682459, -1.18381272951235, 1.7981164949040098, 2.914285393546491], 0.5, 0.5, 0.008, 0.2, 80)

