2025-07-07 17:06:58,219 - gym_custom_envs_real_ur_drivers_URBasic_robotModelEvent - INFO - Init done
2025-07-07 17:06:58,720 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Connected
2025-07-07 17:06:58,721 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - RT_CLient constructor done
2025-07-07 17:06:58,722 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - Data logging (not event logging) is disabled
2025-07-07 17:06:58,722 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog constructor done
2025-07-07 17:06:58,723 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog is stopped
2025-07-07 17:06:58,724 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE constructor done
2025-07-07 17:06:59,118 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - Controller version: 3.3.1-60
2025-07-07 17:06:59,121 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE started
2025-07-07 17:06:59,225 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Connected
2025-07-07 17:06:59,226 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - UR Dashboard respond Connected: Universal Robots Dashboard Server
2025-07-07 17:06:59,226 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Dashboard server constructor done
2025-07-07 17:06:59,226 - gym_custom_envs_real_ur_drivers_URBasic_robotConnectorEvent - INFO - Init done
2025-07-07 17:06:59,227 - gym_custom_envs_real_ur_drivers_URBasic_urScriptEvent - INFO - Init done!!!
2025-07-07 17:06:59,241 - gym_custom_envs_real_ur_drivers_URBasic_urScriptExtEvent - INFO - Init done
2025-07-07 17:07:00,850 - gym_custom_envs_real_ur_interfaceEvent - INFO - [] init done
2025-07-07 17:07:00,851 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
end_freedrive_mode()

2025-07-07 17:07:02,634 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.015562397425646593, -1.5565949513257993, -1.5895962243744701, -1.5189270178786332, 1.6789174453562759, 2.955578851699829], 0.5, 0.5, 0.0125, 0.2, 100)

2025-07-07 17:07:02,657 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.0155952778559911, -1.5571964550458566, -1.589601767991357, -1.5189124353537589, 1.6770751035911373, 2.955614614486694], 0.5, 0.5, 0.0125, 0.2, 100)

2025-07-07 17:07:02,673 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
