2025-07-07 17:09:46,821 - gym_custom_envs_real_ur_drivers_URBasic_robotModelEvent - INFO - Init done
2025-07-07 17:09:47,322 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Connected
2025-07-07 17:09:47,323 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - RT_CLient constructor done
2025-07-07 17:09:47,324 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - Data logging (not event logging) is disabled
2025-07-07 17:09:47,324 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog constructor done
2025-07-07 17:09:47,324 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog is stopped
2025-07-07 17:09:47,325 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE constructor done
2025-07-07 17:09:47,656 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - Controller version: 3.3.1-60
2025-07-07 17:09:47,661 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE started
2025-07-07 17:09:47,827 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Connected
2025-07-07 17:09:47,828 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - UR Dashboard respond Connected: Universal Robots Dashboard Server
2025-07-07 17:09:47,828 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Dashboard server constructor done
2025-07-07 17:09:47,829 - gym_custom_envs_real_ur_drivers_URBasic_robotConnectorEvent - INFO - Init done
2025-07-07 17:09:47,829 - gym_custom_envs_real_ur_drivers_URBasic_urScriptEvent - INFO - Init done!!!
2025-07-07 17:09:47,843 - gym_custom_envs_real_ur_drivers_URBasic_urScriptExtEvent - INFO - Init done
2025-07-07 17:09:49,462 - gym_custom_envs_real_ur_interfaceEvent - INFO - [] init done
2025-07-07 17:09:49,462 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
end_freedrive_mode()

2025-07-07 17:09:52,472 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02230842932412718, -1.5880419336939178, -1.4883586088763636, -1.60808310202454, 1.6277128384414703, 3.086089815805263], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,483 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.022340415886390068, -1.5880497877622533, -1.4883586088763636, -1.6080541086355886, 1.6277095622606286, 3.086075527027109], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,499 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02232698831088093, -1.5880342328271868, -1.4883228460894984, -1.6080886025685663, 1.627708942028952, 3.086078180808054], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,519 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.022316415217781722, -1.5880418190833243, -1.4883471647845667, -1.608040215030912, 1.6277119980753034, 3.0861070539434476], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,531 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02232257575944864, -1.5880328169393105, -1.488371006642477, -1.607589524470905, 1.627690169914872, 3.086094343975386], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,546 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02233205684889849, -1.588041482369035, -1.4883586088763636, -1.607588286833819, 1.6277012282886296, 3.0860589503242823], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,566 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.022313138742919944, -1.588065667720973, -1.488382927571432, -1.6075899215603628, 1.6276875979110665, 3.086071223509579], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,578 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02230941057737608, -1.5880202950856581, -1.488514534627096, -1.6074621253919916, 1.6276344518285908, 3.086117799372178], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,595 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02219637471062698, -1.588035644768785, -1.4888373533831996, -1.6071654154238675, 1.6274231366150655, 3.0864121184997932], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,616 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02221424881760716, -1.5879557574092709, -1.489005200062887, -1.6069697299617576, 1.6272951067602193, 3.086489651167682], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,627 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.022076214620214273, -1.58792966344104, -1.4893280188189906, -1.6056955983603423, 1.6269425124063677, 3.0867504353659236], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,644 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.022045169802645186, -1.5879498792164195, -1.489483944569723, -1.6056841184992787, 1.6269419419023259, 3.086801001910206], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,662 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.021975376305718324, -1.5878604468236859, -1.4896989981280726, -1.6049172850202431, 1.6267790173120737, 3.0869276517792374], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,675 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.021848420885432686, -1.5878545294099686, -1.4901777426349085, -1.6045775857954123, 1.6264176458121373, 3.087155881338426], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,691 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.021638323302889534, -1.5877660951676398, -1.4909197012530726, -1.6033253173573485, 1.6259326265077332, 3.0875936572664484], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,710 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02136844528076169, -1.5876659509005677, -1.4917694250689906, -1.6024957035689427, 1.6252913376785487, 3.088040634214824], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,722 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.021038716264775194, -1.5876010984446187, -1.4928227583514613, -1.6016194687032435, 1.6245641736699565, 3.0885215953781233], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,739 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.020683280646597933, -1.5875308721697503, -1.4940553824054164, -1.6004356211899085, 1.6236493816323252, 3.089189642088439], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,758 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.02026073763439535, -1.5873235005494206, -1.495479694996969, -1.599104728676922, 1.6226423583916216, 3.0899879803349752], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,770 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.01975323479929806, -1.5871321438798067, -1.4971915403949183, -1.5976387950887032, 1.621464501531649, 3.0908768406428404], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,789 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.019196336838494043, -1.5869921907909543, -1.4990702787982386, -1.5958940585671333, 1.6201909493224471, 3.091875809506649], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,805 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.018520931152169177, -1.5867508531733574, -1.5010930220233363, -1.5939522641646457, 1.6187144125553115, 3.0929725121669525], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,818 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.017855129990823053, -1.5865637459568205, -1.5031872908221644, -1.591996781256966, 1.6172373764723895, 3.094090009088195], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,834 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.01710541564430862, -1.5863122953689726, -1.505796543751852, -1.5895295309855897, 1.615414878082949, 3.0954911745614555], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,855 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([0.016455025072725192, -1.586083283102274, -1.5082737127887171, -1.5877157587121817, 1.6140326862791663, 3.0966047998164226], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,868 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439025944, -1.4986992297642714, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,879 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041130407, -1.4986992297642714, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,883 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041282272, -1.5002178707442781, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,902 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.604543904128379, -1.5002330571540783, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,906 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.5002332090181763, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,926 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.5002332105368172, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,931 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.5002332105520038, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,939 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.5002332105521556, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,954 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,963 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,976 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,987 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:52,995 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:53,003 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:53,023 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.012271846303085088, -1.576932249946439, -1.6045439041283807, -1.500233210552157, 1.5462526341887264, 3.1477285767413354], 0.5, 0.5, 0.01, 0.1, 80)

2025-07-07 17:09:53,027 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
