2025-07-07 17:19:07,271 - gym_custom_envs_real_ur_drivers_URBasic_robotModelEvent - INFO - Init done
2025-07-07 17:19:07,772 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Connected
2025-07-07 17:19:07,772 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - RT_CLient constructor done
2025-07-07 17:19:07,773 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - Data logging (not event logging) is disabled
2025-07-07 17:19:07,773 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog constructor done
2025-07-07 17:19:07,774 - gym_custom_envs_real_ur_drivers_URBasic_dataLogEvent - INFO - DataLog is stopped
2025-07-07 17:19:07,774 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE constructor done
2025-07-07 17:19:08,093 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - Controller version: 3.3.1-60
2025-07-07 17:19:08,095 - gym_custom_envs_real_ur_drivers_URBasic_rtdeEvent - INFO - RTDE started
2025-07-07 17:19:08,276 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Connected
2025-07-07 17:19:08,276 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - UR Dashboard respond Connected: Universal Robots Dashboard Server
2025-07-07 17:19:08,276 - gym_custom_envs_real_ur_drivers_URBasic_dashboardEvent - INFO - Dashboard server constructor done
2025-07-07 17:19:08,277 - gym_custom_envs_real_ur_drivers_URBasic_robotConnectorEvent - INFO - Init done
2025-07-07 17:19:08,277 - gym_custom_envs_real_ur_drivers_URBasic_urScriptEvent - INFO - Init done!!!
2025-07-07 17:19:08,288 - gym_custom_envs_real_ur_drivers_URBasic_urScriptExtEvent - INFO - Init done
2025-07-07 17:19:09,869 - gym_custom_envs_real_ur_interfaceEvent - INFO - [] init done
2025-07-07 17:19:09,869 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
end_freedrive_mode()

2025-07-07 17:19:10,424 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.06421914871687491, -1.5148706381182484, -1.5891866661771137, -1.6421527146127597, 1.663225483894348, 3.036690955881126], 0.5, 0.5, 0.01, 0.05, 300)

2025-07-07 17:19:10,439 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.06416656155639497, -1.5149227964786403, -1.5891952720938147, -1.642075814501321, 1.6631420373916626, 3.036683669596615], 0.5, 0.5, 0.01, 0.05, 300)

2025-07-07 17:19:10,456 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.06363687652634906, -1.514443262615972, -1.5891637124896987, -1.6418267299609737, 1.663201880455017, 3.035963383593563], 0.5, 0.5, 0.01, 0.05, 300)

2025-07-07 17:19:10,472 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.06365080611596768, -1.5144229708449883, -1.5892232093149272, -1.6418112836019827, 1.6632139205932617, 3.0359721114907146], 0.5, 0.5, 0.01, 0.05, 300)

2025-07-07 17:19:10,487 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.0636048346122077, -1.5150217549654346, -1.5892170101439753, -1.6417712385838683, 1.663129997253418, 3.0359790980445185], 0.5, 0.5, 0.01, 0.05, 300)

2025-07-07 17:19:10,503 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
servoj([-0.06359306030404432, -1.5150214812988145, -1.5892171797662482, -1.6417687458006383, 1.6631180763244628, 3.0359779774300626], 0.5, 0.5, 0.01, 0.05, 300)

2025-07-07 17:19:10,519 - gym_custom_envs_real_ur_drivers_URBasic_realTimeClientEvent - INFO - Program send to Robot:
